Formula / name r1;smiles r1;Formula / name r2;smiles r2;Arrhenius factor;T;E;k;Formula / name p3;smiles p3;Formula / name p4;smiles p4
OH;[OH-];CHFCl2;ClC(Cl)F;1.20E-12;298;1100;3.00E-14;;;;
OH;[OH-];CHF2Cl;ClC(F)F;1.20E-12;298;1650;4.70E-15;;;;
OH;[OH-];CHF3;FC(F)F;1.50E-12;298;2650;2.10E-16;;;;
OH;[OH-];CH2Cl2;ClCCl;5.80E-12;298;1100;1.40E-13;;;;
OH;[OH-];CH2FCl;C(F)Cl;3.00E-12;298;1250;4.50E-14;;;;
OH;[OH-];CH2F2;FCF;2.50E-12;298;1650;1.00E-14;;;;
OH;[OH-];CH3F;FC;5.40E-12;298;1700;1.80E-14;;;;
OH;[OH-];CH4;C;2.30E-12;298;1700;7.70E-15;;;;
OH;[OH-];CHCl2CF3;ClC(Cl)C(F)(F)F;6.40E-13;298;850;3.70E-14;;;;
OH;[OH-];CHFClCF3;FC(Cl)C(F)(F)F;6.60E-13;298;1250;1.00E-14;;;;
OH;[OH-];CHF2CF3;FC(F)C(F)(F)F;8.90E-13;298;1750;2.50E-15;;;;
OH;[OH-];CH2ClCF2Cl;ClCC(F)(F)Cl;3.60E-12;298;1600;1.70E-14;;;;
OH;[OH-];CH2ClCF3;ClCC(F)(F)F;5.20E-13;298;1100;1.30E-14;;;;
OH;[OH-];CHF2CHF2;C(C(F)F)(F)F;8.70E-13;298;1500;5.70E-15;;;;
OH;[OH-];CH2FC3F;FCC(F)(F)F;1.70E-12;298;1750;4.80E-15;;;;
OH;[OH-];CH3CCl3;ClC(Cl)(Cl)C;5.00E-12;298;1800;1.20E-14;;;;
OH;[OH-];CH3CFCl2;CC(F)(Cl)Cl;4.20E-13;298;1200;7.50E-15;;;;
OH;[OH-];CH3CF2Cl;CC(F)(F)Cl;9.60E-13;298;1650;3.80E-15;;;;
OH;[OH-];CH2FCHF2;FCC(F)F;2.80E-12;298;1500;1.80E-14;;;;
OH;[OH-];CH3CF3;CC(F)(F)F;6.00E-13;298;1750;1.70E-15;;;;
OH;[OH-];CH2FCH2F;FCCF;1.70E-11;298;1500;1.10E-13;;;;
OH;[OH-];CH3CHF2;CC(F)F;1.50E-12;298;1100;3.70E-14;;;;
OH;[OH-];CH3CH2F;CCF;1.30E-11;298;1200;2.30E-13;;;;
